kode_bps,nama_bps,kode_dagri,nama_dagri
7325,LUWU TIMUR,73.24,KAB. LUWU TIMUR
7326,TORAJA UTARA,73.26,KAB. TORAJA UTARA
7371,MAKASSAR,73.71,KOTA MAKASSAR
7372,PAREPARE,73.72,KOTA PARE PARE
7373,PALOPO,73.73,KOTA PALOPO
7401,BUTON,74.04,KAB. BUTON
7402,MUNA,74.03,KAB. MUNA
7403,KONAWE,74.02,KAB. KONAWE
7404,KOLAKA,74.01,KAB. KOLAKA
7405,KONAWE SELATAN,74.05,KAB. KONAWE SELATAN
7406,BOMBANA,74.06,KAB. BOMBANA
7407,WAKATOBI,74.07,KAB. WAKATOBI
7408,KOLAKA UTARA,74.08,KAB. KOLAKA UTARA
7409,BUTON UTARA,74.1,KAB. BUTON UTARA
7410,KONAWE UTARA,74.09,KAB. KONAWE UTARA
7411,KOLAKA TIMUR,74.11,KAB. KOLAKA TIMUR
7412,KONAWE KEPULAUAN,74.12,KAB. KONAWE KEPULAUAN
7413,MUNA BARAT,74.13,KAB. MUNA BARAT
7414,BUTON TENGAH,74.14,KAB. BUTON TENGAH
7415,BUTON SELATAN,74.15,KAB. BUTON SELATAN
7471,KENDARI,74.71,KOTA KENDARI
7472,BAUBAU,74.72,KOTA BAU BAU
7501,BOALEMO,75.02,KAB. BOALEMO
7502,GORONTALO,75.01,KAB. GORONTALO
7503,POHUWATO,75.04,KAB. PAHUWATO
7504,BONE BOLANGO,75.03,KAB. BONE BOLANGO
7505,GORONTALO UTARA,75.05,KAB. GORONTALO UTARA
7571,GORONTALO,75.71,KOTA GORONTALO
7601,MAJENE,76.05,KAB. MAJENE
7602,POLEWALI MANDAR,76.04,KAB. POLEWALI MANDAR
7603,MAMASA,76.03,KAB. MAMASA
7604,MAMUJU,76.02,KAB. MAMUJU
7605,PASANGKAYU,76.01,KAB. PASANGKAYU
7606,MAMUJU TENGAH,76.06,KAB. MAMUJU TENGAH
8101,KEPULAUAN TANIMBAR,81.03,KAB. KEPULAUAN TANIMBAR
8102,MALUKU TENGGARA,81.02,KAB. MALUKU TENGGARA
8103,MALUKU TENGAH,81.01,KAB. MALUKU TENGAH
8104,BURU,81.04,KAB. BURU
8105,KEPULAUAN ARU,81.07,KAB. KEPULAUAN ARU
8106,SERAM BAGIAN BARAT,81.06,KAB. SERAM BAGIAN BARAT
8107,SERAM BAGIAN TIMUR,81.05,KAB. SERAM BAGIAN TIMUR
8108,MALUKU BARAT DAYA,81.08,KAB. MALUKU BARAT DAYA
8109,BURU SELATAN,81.09,KAB. BURU SELATAN
8171,AMBON,81.71,KOTA AMBON
8172,TUAL,81.72,KOTA TUAL
8201,HALMAHERA BARAT,82.01,KAB. HALMAHERA BARAT
8202,HALMAHERA TENGAH,82.02,KAB. HALMAHERA TENGAH
8203,KEPULAUAN SULA,82.05,KAB. KEPULAUAN SULA
8204,HALMAHERA SELATAN,82.04,KAB. HALMAHERA SELATAN
8205,HALMAHERA UTARA,82.03,KAB. HALMAHERA UTARA
8206,HALMAHERA TIMUR,82.06,KAB. HALMAHERA TIMUR
8207,PULAU MOROTAI,82.07,KAB. PULAU MOROTAI
8208,PULAU TALIABU,82.08,KAB. PULAU TALIABU
8271,TERNATE,82.71,KOTA TERNATE
8272,TIDORE KEPULAUAN,82.72,KOTA TIDORE KEPULAUAN
9101,FAKFAK,92.03,KAB. FAK FAK
9102,KAIMANA,92.08,KAB. KAIMANA
9103,TELUK WONDAMA,92.07,KAB. TELUK WONDAMA
9104,TELUK BINTUNI,92.06,KAB. TELUK BINTUNI
9105,MANOKWARI,92.02,KAB. MANOKWARI
9106,SORONG SELATAN,92.04,KAB. SORONG SELATAN
9107,SORONG,92.01,KAB. SORONG
9108,RAJA AMPAT,92.05,KAB. RAJA AMPAT
9109,TAMBRAUW,92.09,KAB. TAMBRAUW
9110,MAYBRAT,92.1,KAB. MAYBRAT
9111,MANOKWARI SELATAN,92.11,KAB. MANOKWARI SELATAN
9112,PEGUNUNGAN ARFAK,92.12,KAB. PEGUNUNGAN ARFAK
9171,SORONG,92.71,KOTA SORONG
9401,MERAUKE,91.01,KAB. MERAUKE
9402,JAYAWIJAYA,91.02,KAB. JAYAWIJAYA
9403,JAYAPURA,91.03,KAB. JAYAPURA
9404,NABIRE,91.04,KAB. NABIRE
9408,KEPULAUAN YAPEN,91.05,KAB. KEPULAUAN YAPEN
9409,BIAK NUMFOR,91.06,KAB. BIAK NUMFOR
9410,PANIAI,91.08,KAB. PANIAI
9411,PUNCAK JAYA,91.07,KAB. PUNCAK JAYA
9412,MIMIKA,91.09,KAB. MIMIKA
9413,BOVEN DIGOEL,91.16,KAB. BOVEN DIGOEL
9414,MAPPI,91.17,KAB. MAPPI
9415,ASMAT,91.18,KAB. ASMAT
9416,YAHUKIMO,91.13,KAB. YAHUKIMO
9417,PEGUNUNGAN BINTANG,91.12,KAB PEGUNUNGAN BINTANG
9418,TOLIKARA,91.14,KAB. TOLIKARA
9419,SARMI,91.1,KAB. SARMI
9420,KEEROM,91.11,KAB. KEEROM
9426,WAROPEN,91.15,KAB. WAROPEN
9427,SUPIORI,91.19,KAB. SUPIORI
9428,MAMBERAMO RAYA,91.2,KAB. MAMBERAMO RAYA
9429,NDUGA,91.24,KAB. NDUGA
9430,LANNY JAYA,91.23,KAB. LANNY JAYA
9431,MAMBERAMO TENGAH,91.21,KAB. MAMBERAMO TENGAH
9432,YALIMO,91.22,KAB. YALIMO
9433,PUNCAK,91.25,KAB. PUNCAK
9434,DOGIYAI,91.26,KAB. DOGIYAI
9435,INTAN JAYA,91.27,KAB. INTAN JAYA
9436,DEIYAI,91.28,KAB. DEIYAI
9471,JAYAPURA,91.71,KOTA JAYAPURA
