kode_bps,nama_bps,kode_dagri,nama_dagri
1110050,JULI,11.11.09,JULI
1110060,JEUMPA,11.11.04,JEUMPA
1110061,KOTA JUANG,11.11.13,KOTA JUANG
1110062,KUALA,11.11.14,KUALA
1110070,JANGKA,11.11.10,JANGKA
1110080,PEUSANGAN,11.11.05,PEUSANGAN
1110081,PEUSANGAN SELATAN,11.11.16,PEUSANGAN SELATAN
1110082,PEUSANGAN SIBLAH KRUENG,11.11.15,PEUSANGAN SIBLAH
1110090,MAKMUR,11.11.06,MAKMUR
1110100,GANDA PURA,11.11.07,GANDAPURA
1110101,KUTA BLANG,11.11.17,KUTA BLANG
1111010,SAWANG,11.08.15,SAWANG
1111020,NISAM,11.08.16,NISAM
1111021,NISAM ANTARA,11.08.27,NISAM ANTARA
1111022,BANDA BARO,11.08.26,BANDA BARO
1111030,KUTA MAKMUR,11.08.03,KUTA MAKMUR
1111031,SIMPANG KERAMAT,11.08.22,SIMPANG KRAMAT
1111040,SYAMTALIRA BAYU,11.08.11,SYAMTALIRA BAYU
1111041,GEUREUDONG PASE,11.08.25,GEUREDONG PASE
1111050,MEURAH MULIA,11.08.07,MEURAH MULIA
1111060,MATANGKULI,11.08.05,MATANGKULI
1111061,PAYA BAKONG,11.08.20,PAYA BAKONG
1111062,PIRAK TIMU,11.08.24,PIRAK TIMUR
1111070,COT GIREK,11.08.17,COT GIREK
1111080,TANAH JAMBO AYE,11.08.14,T. JAMBO AYE
1111081,LANGKAHAN,11.08.18,LANGKAHAN
1111090,SEUNUDDON,11.08.09,SEUNUDDON
1111100,BAKTIYA,11.08.01,BAKTIYA
1111101,BAKTIYA BARAT,11.08.19,BAKTIYA BARAT
1111110,LHOKSUKON,11.08.04,LHOKSUKON
1111120,TANAH LUAS,11.08.12,TANAH LUAS
1111121,NIBONG,11.08.21,NIBONG
1111130,SAMUDERA,11.08.08,SAMUDERA
1111140,SYAMTALIRA ARON,11.08.10,SYAMTALIRA ARON
1111150,TANAH PASIR,11.08.13,TANAH PASIR
1111151,LAPANG,11.08.23,LAPANG
1111160,MUARA BATU,11.08.06,MUARA BATU
1111170,DEWANTARA,11.08.02,DEWANTARA
1112010,MANGGENG,11.12.03,MANGGENG
1112011,LEMBAH SABIL,11.12.09,LEMBAH SABIL
1112020,TANGAN-TANGAN,11.12.02,TANGAN-TANGAN
1112021,SETIA,11.12.07,SETIA
1112030,BLANG PIDIE,11.12.01,BLANG PIDIE
1112031,JEUMPA,11.12.08,JEUMPA
1112040,SUSOH,11.12.04,SUSOH
1112050,KUALA BATEE,11.12.05,KUALA BATEE
1112060,BABAH ROT,11.12.06,BABAH ROT
1113010,KUTA PANJANG,11.13.02,KUTAPANJANG
1113011,BLANG JERANGO,11.13.09,BLANGJERANGO
1113020,BLANGKEJEREN,11.13.01,BLANGKEJEREN
1113021,PUTRI BETUNG,11.13.07,PUTERI BETUNG
1113023,BLANG PEGAYON,11.13.06,BLANGPEGAYON
1113030,PINING,11.13.05,PINING
1113040,RIKIT GAIB,11.13.03,RIKIT GAIB
1113041,PANTAN CUACA,11.13.11,PANTAN CUACA
1113050,TERANGUN,11.13.04,TERANGUN
1113051,TRIPE JAYA,11.13.10,TERIPE JAYA
1114010,TAMIANG HULU,11.16.07,TAMIANG HULU
1114011,BANDAR PUSAKA,11.16.10,BANDAR PUSAKA
1114020,KEJURUAN MUDA,11.16.06,KEJURUAN MUDA
1114021,TENGGULUN,11.16.11,TENGGULUN
1114030,RANTAU,11.16.08,RANTAU
1114040,KOTA KUALASIMPANG,11.16.05,KOTA KUALASINPANG
1114050,SERUWAY,11.16.04,SERUWAY
1114060,BENDAHARA,11.16.02,BENDAHARA
1114061,BANDA MULIA,11.16.09,BANDA MULIA
1114070,KARANG BARU,11.16.03,KARANG BARU
1114071,SEKERAK,11.16.12,SEKERAK
1114080,MANYAK PAYED,11.16.01,MANYAK PAYED
1115010,DARUL MAKMUR,11.15.05,DARUL MAKMUR
1115011,TRIPA MAKMUR,11.15.09,TRIPA MAKMUR
1115020,KUALA,11.15.01,KUALA
1115021,KUALA PESISIR,11.15.07,KUALA PESISIR
1115022,TADU RAYA,11.15.08,TADU RAYA
1115030,BEUTONG,11.15.04,BEUTONG
1115031,BEUTONG ATEUH BANGGALANG,11.15.10,BEUTONG ATEUH
1115040,SEUNAGAN,11.15.02,SEUNAGAN
1115041,SUKA MAKMUE,11.15.06,SUKA MAKMUE
1115050,SEUNAGAN TIMUR,11.15.03,SEUNAGAN TIMUR
1116010,TEUNOM,11.14.01,TEUNOM
1116011,PASIE RAYA,11.14.09,PASIE RAYA
1116020,PANGA,11.14.06,PANGA
1116030,KRUENG SABEE,11.14.02,KRUENG SABEE
1116040,SETIA BAKTI,11.14.03,SETIA BHAKTI
1116050,SAMPOINIET,11.14.04,SAMPOINIET
1116051,DARUL HIKMAH,11.14.08,DARUL HIKMAH
1116060,JAYA,11.14.05,JAYA
1116061,INDRA JAYA,11.14.07,INDRA JAYA
1117010,TIMANG GAJAH,11.17.07,TIMANG GAJAH
1117011,GAJAH PUTIH,11.17.10,GAJAH PUTIH
1117020,PINTU RIME GAYO,11.17.01,PINTU RIME GAYO
1117030,BUKIT,11.17.05,BUKIT
1117040,WIH PESAM,11.17.06,WIH PESAM
1117050,BANDAR,11.17.04,BANDAR
1117051,BENER KELIPAH,11.17.08,BENER KELIPAH
1117060,SYIAH UTAMA,11.17.03,SYIAH UTAMA
1117061,MESIDAH,11.17.09,MESIDAH
1117070,PERMATA,11.17.02,PERMATA
1118010,MEUREUDU,11.18.01,MEUREUDU
1118020,MEURAH DUA,11.18.05,MEURAH DUA
